video_id,title,channel_title,publish_time,country,category_id,category_name,language,duration,views,likes,comments
d2mu8fft70I,Gunna - wgft (feat. Chris Brown) [Remix] [Official Visualizer],Gunna,2026-01-16T04:59:52Z,US,10,Music,en,PT3M8S,547981,31919,2160
_YfsIuRp2j4,Teri Yado Ki Chadar Odhe,Aman Yadav - Topic,2026-01-16T06:39:19Z,IN,10,Music,hi,PT6M52S,545577,6509,183
lptkii7xs_8,《2026年馬年新年歌 》 韓曉噯HANXIIAOAII   【小妹祝你發大財! 】OFFICIAL CNY MUSIC VIDEO,韓曉噯 Hanxiiaoaii,2026-01-09T12:01:33Z,SG,22,Music,en-GB,PT3M56S,544027,7260,348
RjBwMG4zBxE,#Video - नहईहा हे भौजो होलिया में - #Ashish Yadav का एक और धमाकेदार - #New Magahi Holi Song 2026,Raja Entertainment,2026-01-17T01:15:00Z,IN,22,Music,hi,PT4M45S,504885,18165,547
NmZyF4nQ5LQ,Twin S x Twin H - Mad About Beckton w/ Kenny Allstar | Mixtape Madness,Mixtape Madness,2026-01-04T19:00:07Z,GB,10,Music,en-US,PT3M19S,466404,8389,616
tmEyOhW4KgQ,Vico da sporo & Zulelu zn _ Sijabulile ( Full Cut ),Vico Da Sporo,2025-12-27T22:47:17Z,ZA,10,Music,zu,PT5M19S,443215,2861,92
5kpiZr3tTgg,Monsters,Joyner Lucas - Topic,2026-01-15T10:00:18Z,US,10,Music,en,PT3M13S,406434,17121,365
Xu8Xm4gpDP8,Ren - Vincent's Tale - The Bedroom,Ren,2026-01-15T19:00:07Z,GB,10,Music,en,PT10M25S,402200,46647,5217
9TRoisJmhf4,"Nasty C, Soweto Gospel Choir - Head Up 2.0 (Official Music Video)",NastyCVEVO,2026-01-16T22:00:17Z,ZA,10,Music,en,PT3M39S,398952,36103,2474
oMGtK8yLlUE,I am POLCASAN - POLCASAN,GMMTV RECORDS,2026-01-15T11:00:07Z,SG,10,Music,th,PT1M43S,396736,50037,3067
plbNzv3KvWs,Megan Moroney - Wish I Didn't (Official Video),MeganMoroneyVEVO,2026-01-16T05:00:06Z,US,10,Music,en,PT3M35S,372040,11370,953
eKiutrb1XEQ,"Dibiri Dikae (feat. KayGee Muziq, Ras Chief, Double DB, Tkay Music, Skxyy, EzzyMusica & DJ Kgauza)",SdoDiroba - Topic,2025-12-30T15:16:19Z,ZA,10,Music,und,PT6M17S,366740,12176,0
j1LVsZgROkQ,TẤM LÒNG CỬU LONG - AM REMIX -  ANH ĐI TỪ ĐỒNG BẰNG CỬU LONG MANG THEO TẤM LÒNG TRẮNG TRONG REMIX,DJ AM OFFICIAL,2026-01-16T06:25:00Z,VN,10,Music,vi,PT4M43S,360134,2566,69
-lbwf9b7khA,Saanvle,Diljit Dosanjh - Topic,2026-01-14T10:04:25Z,CA,10,Music,pa,PT3M29S,344704,6362,176
oC5BPq56lK4,"【 通通好运来 】KUAN FAMILY 2026 新年歌 - Jestinna Kuan, Mskuan & Perry Kuan (Official MV)",Jestinna Kuan,2026-01-16T11:00:07Z,SG,10,Music,en-US,PT4M20S,344527,3977,274
VVOVv1DW_MU,wgft (Remix) [feat. Chris Brown],Gunna - Topic,2026-01-16T05:02:58Z,ZA,10,Music,en,PT3M8S,331627,16804,296
MOrhyWScatg,MV Tết Ổn Rồi (Remix) - Jun Phạm,Jun Phạm Official,2026-01-06T13:00:54Z,VN,10,Music,vi,PT4M24S,298157,5404,343
GFtKDz4uRIk,PARAM - DIARY (OFFICIAL MUSIC VIDEO),Collab Creations,2026-01-16T12:00:06Z,CA,10,Music,en,PT2M37S,292701,22018,1362
